Ingresos
Item,Transacción,Referencia,Fecha,Producto,Almacén,Ubicación,Cantidad,Valor Unitario,Total
60,OV18B22J2325,2018-02-22,ZENTRO COLOGNE FOR MEN Negro,1,99,99
61,OV18B22J2325,2018-02-22,SENTIVA BB CREAM MATT Negro,1,62,62
62,OV18B22J2325,2018-02-22,REVITALIST LIMPIADOR Negro,1,25.5,25.5
63,OV18B22J2325,2018-02-22,Y. RIMEL NEGRO Negro,3,19.9,59.7
64,OV18B22J2325,2018-02-22,P/C Y. BEIGE Negro,1,26.9,26.9
65,OV18B22J2325,2018-02-22,ULTRA DEF DEL LAB TOFFEE IMPER Negro,1,24,24
66,OV18B22J2325,2018-02-22,UNIQUECIL RIMEL EXTRA XL NEGRO MY Negro,2,32,64
67,OV18B22J2325,2018-02-22,ULTRA DEF DEL LIQ PLUM NEGRO Negro,2,32,64
68,OV18B22J2325,2018-02-22,CCORI DESODORANTE Negro,1,12.9,12.9
69,OV18B22J2325,2018-02-22,L/L HYDRA-LIP COLOR ROJO PASIO Negro,1,25,25
70,OV18B22J2325,2018-02-22,Perfect Ten Esmalte Amantes de Medianoche Negro,1,14.9,14.9
71,PS18B21R5058,2018-02-21,TOTALIST CONCHA D NACAR CREMA Negro,1,25,25
72,PS18B21R4308,2018-02-21,ACNI-DERM CREMA CORRECTORA Negro,1,26,26
73,PS18B21R3907,2018-02-21,TOTALIST ALOE CREMA MULTIACCIO Negro,3,25,75
74,PS18B21R3907,2018-02-21,TOTALIST CONCHA D NACAR CREMA Negro,3,25,75
75,PS18B21R3705,2018-02-21,B/L ELIXIR DE VIDA ANTIEDAD T1 Negro,1,64,64
76,PS18B21R3705,2018-02-21,P/S PERFECT COVER CLARO 1 Negro,1,78,78
77,PS18B21R3454,2018-02-21,SENTIVA BB CREAM MATT Negro,1,62,62
78,PS18B21R3454,2018-02-21,LIBERATTA NOIRE PARFUM Original,1,115,115
79,PS18B21R3454,2018-02-21,BS QUINUA CREMA MANOS Negro,2,22,44
80,PS18B21R2722,2018-02-21,SENTIVA BB CREAM MATT Negro,1,62,62
81,PS18B21R2722,2018-02-21,BS QUINUA CREMA MANOS Negro,2,22,44
82,PS18B21R2722,2018-02-21,LIBERATTA NOIRE PARFUM Original,1,115,115
83,OV18B21R2418,2018-02-21,ULTRA DEF DEL LAP OJO AZU NOCH Negro,1,39,39
84,OV18B21R2418,2018-02-21,UNIQUECIL RIMEL NEGRO Negro,1,25,25
85,OV18B21R2418,2018-02-21,EFFECTIVE ORIGINAL DESODORANTE Negro,4,12.9,51.6
86,OV18B21R2224,2018-02-21,TOTAL BLOCK SPF 100 Negro,4,49,196
87,OV18B21R2224,2018-02-21,TOTAL BLOCK SPF 100 Negro,1,98,98
88,OV18B21R1139,2018-02-21,Catálogo 2018C2 N/A,1,4.5,4.5
89,OV18B21R1031,2018-02-21,TOTAL BLOCK SPF 100 Negro,4,49,196
90,OV18B21R1031,2018-02-21,TOTAL BLOCK SPF 100 Negro,1,37,37
91,OV18B21Q2500,2018-02-21,BS UÑA DE GATO ACONDICIONADOR Negro,1,20,20
92,OV18B21P5608,2018-02-21,ULTRA DEF DEL LIQ PLUM NEGRO Negro,1,32,32
93,OV18B21P4731,2018-02-21,ELIXIR DE VIDA HIDRATANTE Negro,1,49,49
94,OV18B21P4731,2018-02-21,L/L HYDRA-LIP COLOR FUCSIA PEL Negro,1,25,25
95,OV18B21P4731,2018-02-21,L/L HYDRA-LIP COLOR ALMENDRADO Negro,1,25,25
96,OV18B21P4455,2018-02-21,TOTALIST CONCHA D NACAR CREMA Negro,1,25,25
97,OV18B21P4455,2018-02-21,TOTALIST ALOE CREMA MULTIACCIO Negro,2,25,50
98,OV18B21P4209,2018-02-21,FORTE COLOGNE FOR MEN Negro,1,65,65
99,OV18B21P3514,2018-02-21,EFFECTIVE ORIGINAL DESODORANTE Negro,1,12.9,12.9
100,OV18B21J0002,2018-02-21,REVITALIST HIDRATANTE Negro,1,44,44
101,OV18B21J0002,2018-02-21,REVITALIST LIMPIADOR Negro,1,32,32
102,OV18B21J0002,2018-02-21,REVITALIST TONICO Negro,1,32,32
103,OV18B21I3741,2018-02-21,OHM BLACK COLOGNE SPRAY Negro,1,99,99
104,OV18B21I3741,2018-02-21,AROM POUR HOMME COLONIA Negro,1,85,85
105,OV18B21I3741,2018-02-21,B/L PERFECT COVER HIDRA T1 Negro,1,44,44
106,OV18B21I3741,2018-02-21,B/L PERFECT COVER MAT T1 Negro,1,44,44
107,OV18B21I3741,2018-02-21,B/L PERFECT COVER MAT T2 Negro,1,44,44
108,OV18B21I3741,2018-02-21,SENTIVA BB CREAM MATT Negro,1,58,58
109,OV18B21I0250,2018-02-21,ULTRA DEF DEL LIQ PLUM NEGRO Negro,1,32,32
110,OV18B21I0004,2018-02-21,B/L ELIXIR DE VIDA ANTIEDAD T3 Negro,1,54,54
111,OV18B21I0004,2018-02-21,B/L ELIXIR DE VIDA ANTIEDAD T4 Negro,1,54,54
112,OV18B20S1038,2018-02-20,ULTRA DEF DEL CEJAS MARRON MED Negro,1,27,27
113,OV18B20S1038,2018-02-20,SOY DULCE FRESH COLOGNE Negro,1,27.5,27.5
114,OV18B20S1038,2018-02-20,UNIQUECIL RIMEL EXTRA XL NEGRO MY Negro,1,32,32
115,OV18B20S1038,2018-02-20,SOY FELIZ FRESH COLOGNE Negro,1,27.5,27.5
116,OV18B20S1038,2018-02-20,Lesence Orquídeas Exóticas Cologne Negro,2,29,58
117,PS18B20R4710,2018-02-20,CCORI LE PARFUM Negro,1,89,89
118,PS18B20R4710,2018-02-20,BS UÑA DE GATO CREMA CUERPO Negro,1,39,39
119,PS18B20R2915,2018-02-20,Solo for men cologne spray  Negro,1,180,180
120,PS18B20R2915,2018-02-20,ULTRA DEF DEL CEJAS MARRON MED Negro,1,39,39
121,OV18B20Q4633,2018-02-20,ELIXIR DE VIDA GEL TONICO Negro,1,28.5,28.5
122,OV18B20Q4633,2018-02-20,EAU VITALE TE VERDE COLONIA Negro,1,34,34
123,OV18B20Q4633,2018-02-20,CREMA HIDRATANTE BIO MILK FRESA FRAMBUESA Negro,1,25,25
124,OV18B20Q4126,2018-02-20,ULTRA DEF DEL LIQ PLUM NEGRO Negro,1,32,32
125,OV18B20Q3226,2018-02-20,DENDUR COLOGNE FOR MEN Negro,1,172,172
126,OV18B20Q2244,2018-02-20,TE DESEO FELICIDAD COLOGNE Negro,1,28,28
127,OV18B20Q1817,2018-02-20,GAIA EAU DE PARFUM Negro,1,99,99
128,OV18B20Q1133,2018-02-20,GAIA EAU DE PARFUM Negro,1,99,99
129,OV18B20P5033,2018-02-20,Prolong Color Miami Aqua  Negro,1,19,19
130,OV18B20P3635,2018-02-20,AROM POUR HOMME COLONIA Negro,1,85,85
131,OV18B20P3635,2018-02-20,TEMPTATION MUJER DESODORANTE A/P Negro,2,12.9,25.8
132,OV18B20P3635,2018-02-20,CCORI PASION LE PARFUM Negro,1,92,92
133,OV18B20P3635,2018-02-20,B/C PERFECT COVER COMPACT CLA1 Negro,1,58,58
134,OV18B20P3635,2018-02-20,BS KIDS COLONIA NIÑAS Negro,1,27,27
135,OV18B20P3635,2018-02-20,Color Effect Rubor Compacto Iluminart Negro,1,46,46
136,OV18B20P2758,2018-02-20,LESENCE FLORES DE CEREZO COL Negro,1,32,32
137,OV18B20P2758,2018-02-20,ESM PERFECT TEN TE QUIERO ROSA Negro,1,18.9,18.9
138,OV18B20P2758,2018-02-20,GAIA DESODORANTE Negro,1,12.9,12.9
139,OV18B20P2758,2018-02-20,BS UÑA DE GATO CREMA MANOS Negro,2,20,40
140,OV18B20P2758,2018-02-20,L/L HYDRA-LIP LD FUCSIA ENSUEÑO MY Negro,1,29,29
141,OV18B20P2519,2018-02-20,PERFECT COVER CORRECTOR MEDIA1 Negro,1,48,48


Transferencias
Item,Transacción,Fecha,Producto,Almacén de Salida,Ubicación de Salida,Almacén de Ingreso,Ubicación de Ingreso,Cantidad


Correcciones
Item,Transacción,Fecha,Producto,Almacén,Ubicación,Cantidad Inicial,Cantidad Final,Motivo
1,CI18B22R5858,2018-02-22,BS UÑA DE GATO SHAMPOO Negro,Almacén Principal,D-4-1,1,2,
