Item,Fecha,Producto,Ubicación,Stock
332,2018-02-01,P/S PERFECT COVER MEDIANO 1,F-6-1,2
333,2018-02-01,PD BAILAMOS EN RIO BODY LOTION,E-3-1,8
334,2018-02-01,PD BESO DESDE VENECIA BODY LOTION,E-3-1,2
335,2018-02-01,PD I LOVE NEW YORK COLOGNE,E-3-1,56
336,2018-02-01,PD ME QUEDO EN SANTORINI COLOGNE,E-3-1,2
337,2018-02-01,PD ME QUEDO EN SANTORINI BODY LOTION,E-3-1,1
338,2018-02-01,PD TE ESPERO EN  ESTAMBUL BODY LOTION,E-3-2,6
339,2018-02-01,PD TE ESPERO EN ESTAMBUL COLOGNE,E-3-2,17
340,2018-02-01,PD UN BESO DESDE VENECIA COLOGNE,E-3-1,17
341,2018-02-01,PERFECT COVER CORRECTOR CLARO 1,F-6-1,15
342,2018-02-01,PERFECT COVER CORRECTOR MEDIANO 1,F-6-1,16
343,2018-02-01,PERFECT COVER CORRECTOR MEDIANO 2,F-6-1,14
344,2018-02-01,ESMALTE PERFECT TEN BARNIZ EFECTO MATE,G-4-4,4
345,2018-02-01,PERFECT TEN BARNIZ UÑAS MATE,G-4-4,20
346,2018-02-01,ESMALTE PERFECT TEN BASE ESMALTE UÑAS,G-4-4,8
347,2018-02-01,PERFECT TEN BRI SECAN&PROT ESM,G-4-4,12
348,2018-02-01,PERFECT TEN CORRECTOR ESMALTE,G-1-4,2
349,2018-02-01,PERFECT TEN ESM DISEÑO NEGRO,G-1-4,1
350,2018-02-01,PERFECT TEN FORTALECEDOR UÑAS,G-1-4,3
351,2018-02-01,PERFECT TEN REMOVEDOR ESMALTE,G-1-3,26
352,2018-02-01,SHAMPOO ALEGRÍA PETIT PON PON,E-5-1,33
353,2018-02-01,SHAMPOO TERNURA PETIT PON PON,E-5-2,1
354,2018-02-01,COLONIA ALEGRÍA PETIT PON PON,E-5-1,16
355,2018-02-01,COLONIA TERNURA PETIT PON PON,E-5-2,6
356,2018-02-01,RUBOR COLOR EFFECT BRIZZA,F-2-1,5
357,2018-02-01,RUBOR COLOR EFFECT BRONZAGE,F-2-1,24
358,2018-02-01,RUBOR COLOR EFFECT PETAL ROSE ,F-2-1,11
359,2018-02-01,RUBOR COLOR EFFECT ROSA IRRESISTIBLE,F-2-1,5
360,2018-02-01,RUBOR COLOR EFFECT TERRA,F-2-1,6
361,2018-02-01,RUBOR EN CREMA Y. BRONZE,G-6-2,3
362,2018-02-01,RUBOR EN CREMA Y. CORAL,G-6-2,2
363,2018-02-01,RUBOR EN CREMA Y. ROSADO,G-6-2,3
364,2018-02-01,REVITALIST CREMA NUTRITIVA,H-2-2,5
365,2018-02-01,REVITALIST GEL ENERGIZANTE,H-2-2,1
366,2018-02-01,REVITALIST HIDRATANTE,H-2-2,21
367,2018-02-01,REVITALIST LIMPIADOR,H-2-1,30
368,2018-02-01,REVITALIST SUERO,H-2-2,3
369,2018-02-01,REVITALIST TONICO,H-2-1,24
370,2018-02-01,SEXTETO DE SOMBRAS Y. AVENTURA CHIC,G-6-2,20
371,2018-02-01,SEXTETO DE SOMBRA Y. URBANA FEMME,G-6-2,19
372,2018-02-01,SENTIVA BB CREAM,H-5-2,14
373,2018-02-01,BB CREAM MATT CREMA HIDRATANTE,H-5-2,16
374,2018-02-01,SENTIVA DESMAQUILLADOR AGUA MICELAR,H-2-2,8
375,2018-02-01,SENTIVA DESMAQUILLADOR DOBLE FASE,H-1-2,47
376,2018-02-01,SENTIVA EXFOLIANTE FACIAL,H-1-2,5
377,2018-02-01,EXTRACTO DIVINO CONCENTRADO,H-3-2,14
378,2018-02-01,SENTIVA MASCARILLA FACIAL,H-1-2,11
379,2018-02-01,CONTROL BLANC RX SET ANTIMANCHAS,H-4-2,9
380,2018-02-01,SOLO COLOGNE FOR MEN,C-4-1,32
381,2018-02-01,SOLO DESODORANTE A/P,C-4-2,14
382,2018-02-01,SOLO DESODORANTE,C-4-1,4
383,2018-02-01,SOLO GEL AFTER SHAVE A/P,C-4-2,14
384,2018-02-01,SOY DULCE FRESH COLOGNE,B-6-1,3
385,2018-02-01,SOY FASHION FRESH COLOGNE,B-6-1,5
386,2018-02-01,SOY FELIZ FRESH COLOGNE,B-6-1,17
387,2018-02-01,SOY SEXY FRESH COLOGNE,B-6-1,5
388,2018-02-01,SPRIO BLUE SPRAY COLOGNE,C-6-2,24
389,2018-02-01,SPRIO PINK COLOGNE FOR HER,B-2-1,1
390,2018-02-01,TAJADOR CORPORATIVO,F-3-2,75
391,2018-02-01,TE DESEO AMOR DEL BUENO COLOGNE,E-2-1,6
392,2018-02-01,TE DESEO EXITO POR SIEMPRE COLOGNE,E-2-1,14
393,2018-02-01,TE DESEO FELICIDAD INFINITA COLOGNE,E-2-1,9
394,2018-02-01,TEMPTATION COLOGNE FOR MEN,C-2-1,13
395,2018-02-01,TEMPTATION EAU DE PARFUM,B-4-2,21
396,2018-02-01,TEMPTATION FOR MEN DESODORANTE,C-2-1,7
397,2018-02-01,TEMPTATION GEL AFTER SHAVE,C-2-1,1
398,2018-02-01,TITANIUM DESODORANTE ANTITRANS,C-5-1,2
399,2018-02-01,TITANIUM HIDRATANTE ENERGIZANT,C-5-2,13
400,2018-02-01,TITANIUM LIMPIADOR EXFOLIANTE,C-5-2,9
401,2018-02-01,TITANIUM POST AFEI LOCION ENER,C-5-2,23
402,2018-02-01,TITANIUM SHAMPOO,C-5-2,9
403,2018-02-01,TOP MODELING CREMA ANTI-CELULITIS,D-3-2,28
404,2018-02-01,TOP MODELING CREMA LIPO-REDUCTORA,D-4-2,34
405,2018-02-01,TOTAL BLOCK ANTI EDAD MATT SPF50+ A/P,E-4-1,16
406,2018-02-01,TOTAL BLOCK KIDS SPF 70 A/P,E-4-4,3
407,2018-02-01,TOTAL BLOCK REPELENTE SPF 30 A/P,E-4-2,15
408,2018-02-01,TOTAL BLOCK SPF 100,E-4-2,35
409,2018-02-01,TOTALIST ALOE VERA CREMA MULTIACCION,D-6-1,14
410,2018-02-01,TOTALIST ALOE VERA LIMPIADOR MULTIACCION,D-6-1,25
411,2018-02-01,TOTALIST CONCHA DE NACAR CREMA ROSTRO,D-6-2,30
412,2018-02-01,TOTALIST CONCHA DE NACAR LIMPIADOR,D-6-2,14
413,2018-02-01,U/S COLOR EFFECT HABANO CENIZO,F-1-2,2
414,2018-02-01,ULTRA DEF DELINEADOR BISELADO OJOS NEGRO,F-4-2,5
415,2018-02-01,ULTRA DEF DELiNEADOR CEJAS MARRON MEDIANO,F-4-1,17
416,2018-02-01,ULTRA DEF DELINEADOR INTERIOR OJO PERLA,F-3-2,12
417,2018-02-01,ULTRA DEFiNITION  DELINEADOR LABIOS  CHOCOLATE,F-5-1,134
418,2018-02-01,ULTRA DEF DEL LAB CHOCOLATE,F-5-1,44
419,2018-02-01,ULTRA DEFINITON DELINEADOR LABIOS PALO DE ROSA,F-5-1,19
420,2018-02-01,ULTRA DEFiNITION  DELINEADOR LABIOS PIEL,F-5-1,4
421,2018-02-01,ULTRA DEF DEL LAB ROJO ENCENDI,F-5-1,33
422,2018-02-01,ULTRA DEF DEL LAB TOFFEE IMPER,F-5-1,123
423,2018-02-01,ULTRA DEF DEL LAB VINO,F-5-1,68
424,2018-02-01,ULTRA DEF DEL LAP INT OJ PERLA,F-3-2,4
425,2018-02-01,ULTRA DEF DELINEADOR LAPIZ OJO AZUL NOCHE,F-3-2,20
426,2018-02-01,ULTRA DEF DEL LAP OJO MARRON,F-3-2,13
427,2018-02-01,ULTRA DEF DEL LAPIZ OJOS NEGRO ABSOLUTO,F-3-2,296
428,2018-02-01,ULTRA DEF DEL LARGA DURACION OJOS MARRON,F-3-2,21
429,2018-02-01,DELINEADOR PUNTA PINCEL NEGRO,F-6-2,159
430,2018-02-01,ULTRA DEF DEL LIQ PLU MARR FRO,F-4-2,1
431,2018-02-01,ULTRA DEFINITION  DELINEADOR LIQUIDO PLUMON NEGRO,F-4-2,86
432,2018-02-01,ULTRA DEF DELINEADOR EN LAPIZ OJO VERDE ESMERALDA,F-3-2,4
433,2018-02-01,ULTRA DEF DELINEADOR EN LAPIZ DE  OJO VERDE OLIVO,F-3-2,2
434,2018-02-01,ULTRA DEF DEL PLUM OJOS AZUL,F-4-2,2
435,2018-02-01,ULTRA DEF DEL PLUM OJOS MARRON,F-4-2,1
436,2018-02-01,ULTRA DEFINITION  PLUMON OJOS NEGRO,F-4-2,37
437,2018-02-01,ULTRA DEFINITION PLUMON OJOS AZUL,F-4-2,5
438,2018-02-01,ULTRA DEF DELINEADOR RETRACTIL MARRON,F-4-1,7
439,2018-02-01,UNIQUE WOMAN INFINITY EAU PARFUM,B-4-1,15
440,2018-02-01,UNIQUE WOMAN EAU DE PARFUM,B-4-1,6
441,2018-02-01,UNIQUECIL RIMEL EXTRA XL NEGRO (A/P),F-5-2,6
442,2018-02-01,UNIQUECIL RIMEL EXTRA XL NEGRO,F-5-2,46
443,2018-02-01,UNIQUECIL RIMEL NEGRO,F-5-2,48
444,2018-02-01,UNIQUECIL ROLL RIMEL RIZADO EXTREMO,F-6-2,148
445,2018-02-01,XISS 2.0 EAU DE TOILETTE,B-4-1,8
446,2018-02-01,XISS EAU DE TOILETTE,B-4-1,11
447,2018-02-01,XOOL 2.0 EAU DE TOILETTE,C-4-2,12
448,2018-02-01,XOOL EAU DE TOILETTE,C-4-2,18
449,2018-02-01,Y. BRILLO LABIAL FUCSIA KISS,G-5-2,2
450,2018-02-01,Y. BRILLO LABIAL ROJO STOP,G-5-2,2
451,2018-02-01,Y. BRILLO LABIAL ROSA CHIC,G-5-2,2
452,2018-02-01,Y. BRILLO LABIAL ROSALICIOUS,G-5-2,1
453,2018-02-01,Y. BRILLO LABIAL LOVELY CORAL,G-5-2,3
454,2018-02-01,Y. LABIAL FEMME NACAR,G-5-2,4
455,2018-02-01,Y. LABIAL FUCSIA POP,G-5-2,7
456,2018-02-01,Y. LABIAL MALVA SPIRIT,G-5-2,5
457,2018-02-01,Y. LABIAL NARANJA FUN,G-5-2,5
458,2018-02-01,Y. LABIAL PINK CORAL,G-5-2,4
459,2018-02-01,Y. LABIAL ROJO FASHION,G-5-2,4
460,2018-02-01,Y. LABIAL ROSA LOVE,G-5-2,2
461,2018-02-01,Y. LABIAL TERRA MYSTIC,G-5-2,5
462,2018-02-01,Y. RIMEL NEGRO,G-6-2,8
463,2018-02-01,ZENTRO BLACK COLOGNE FOR MEN,C-5-1,18
464,2018-02-01,ZENTRO COLOGNE FOR MEN,C-5-1,3
465,2018-02-01,ZENTRO DESODORANTE,C-5-1,3
466,2018-02-01,ZENTRO GEL AFTER AFEITAR,C-5-1,1
467,2018-02-01,COLONIA ZITRIKA LIMON,E-3-2,20
468,2018-02-01,COLONIA ZITRICA MANDARINA,E-3-2,13
469,2018-02-01,CIELO DE NOCHE PARFUM,B-1-1,8
470,2018-02-01,ACENTO PARFUM,B-1-2,22
471,2018-02-01,DULCE REBELDIA EAU DE PARFUM,B-1-2,10
472,2018-02-01,SENTIR ,B-1-2,4
473,2018-02-01,CCORI PASIÓN LE PARFUM A/P,B-2-2,1
474,2018-02-01,CCORI CRISTAL LEAU DE PARFUM 7.5 ml.,B-2-1,1
475,2018-02-01,LIBERATTA NOIRE CREMA PERFUM ,B-3-1,9
476,2018-02-01,GAIA EAU DE PARFUM 7.5 ml.,B-3-2,10
477,2018-02-01,EAU DE SEDA A/P,B-3-2,1
478,2018-02-01,PURO AMOR  EAU DE PARFUM,B-3-1,10
479,2018-02-01,SPRIO PARAISO ESCONDIDO SPRAY COLONIA,B-2-1,2
480,2018-02-01,TEMPTATION EAU DE PARFUM A/P,B-4-2,13
481,2018-02-01,MUSK EAU DE PARFUM EDICION LIMITADA,B-4-2,17
482,2018-02-01,CIELO BODY LOTION,B-5-2,28
483,2018-02-01,Cielo Desodorante,B-5-2,21
484,2018-02-01,CCORI JABON LIQUIDO,B-5-2,1
485,2018-02-01,Brillo de Seda Loción Hidratante,B-5-1,6
486,2018-02-01,OSADIA BODY LOTION,B-6-2,17
487,2018-02-01,PURO AMOR DESODORANTE,B-6-2,1
488,2018-02-01,PURO AMOR BODY LOTION ,B-6-2,3
489,2018-02-01,MUSK BODY LOTION,B-6-1,2
490,2018-02-01,OSADIA DESODORANTE,B-6-2,1
491,2018-02-01,MUSK DESODORANTE HOMBRE,B-6-1,3
492,2018-02-01,MUSK DESODORANTE MUJER,B-6-1,2
493,2018-02-01,SEXY UNIQUE WOMAN,B-1-2,12
494,2018-02-01,PSICODELIA EAU DE TOILETTE,B-1-1,2
495,2018-02-01,BRILLO DE SEDA DIAMANTES A/P,B-4-2,9
496,2018-02-01,SOY DULCE FRESH COLOGNE A/P,B-6-1,6
497,2018-02-01,SOY IRRESISTIBLE FRESH COLOGNE,B-6-1,13
498,2018-02-01,SOY LIBRE FRESH COLOGNE,B-6-1,5
499,2018-02-01,DULCE VANIDAD DESODORANTE,B-6-2,4
500,2018-02-01,SEXY CLIC COLONIA CON ESCARCHAS LUMINOSAS,B-4-2,2
501,2018-02-01,V LOCION HIDRATANTE CON ESCARCHAS LUMINOSAS,B-4-2,1
502,2018-02-01,ADRENALINE MUJER DESODORANTE,B-5-2,1
503,2018-02-01,SOY FASHION DESODORANTE,B-5-2,1
504,2018-02-01,PSICODELIA DESODORANTE,B-5-2,1
505,2018-02-01,AROM SPORT COLONIA,C-1-1,3
506,2018-02-01,DENDUR COLOGNE FOR MEN A/P,C-1-2,22
507,2018-02-01,TEMPTATION COLOGNE FOR MEN A/P,C-2-1,20
508,2018-02-01,AROM SHAMPOO,C-2-1,2
509,2018-02-01,NO LIMITS COLONIA EN SPRAY PARA HOMBRES,C-3-1,2
510,2018-02-01,JAQUE GEL AFTER SHAVE,C-3-2,1
511,2018-02-01,O2xigen Cologne Spray,C-5-2,2
512,2018-02-01,EXTRA XOOL EAU DE TOILETTE A/P,C-4-2,14
513,2018-02-01,JAQUE DESODORANTE,C-3-2,11
514,2018-02-01,ADRENALINE HOMBRE DESODORANTE,C-5-1,1
515,2018-02-01,No LIMITS DESODORANTE,C-5-1,1
516,2018-02-01,IRREVERENT DESODORANTE,C-5-1,1
517,2018-02-01,XOOLl DESODORANTE,C-5-1,1
518,2018-02-01, ADRENALINE URBANO DESODORANTE,C-5-1,3
519,2018-02-01,O2XYGEN GEL AFTER SHAVE,C-5-2,2
520,2018-02-01,SOLO TALCO PARA EL CUERPO HOMBRE,C-4-2,12
521,2018-02-01,BIO FRUIT SHAMPOO Y  ACONDICIONADOR MANDARINA TROPICAL A/P,D-1-1,3
522,2018-02-01,BIO FRUIT SHAMPOO Y ACONDICIONADOR COCO CARIBEÑO A/P 350 ML,D-1-1,1
523,2018-02-01,BIO FRUIT SHAMPOO Y ACONDICIONADOR GRANADA EXOTICA 350 ML.,D-1-1,8
524,2018-02-01,BIO FRUIT SHAMPOO Y ACONDICIONADOR Coco Caribeño A/P,D-1-1,9
525,2018-02-01,Bio Fruit 2 en 1 Pera Manzana (antigua presentación),D-1-2,22
526,2018-02-01,BIO MILK CREMA HIDRATANTE VAINILLA FRANCESA,D-2-2,4
527,2018-02-01,TOP MODELING CREMA LIPO-REDUCTORA A/P,D-3-2,1
528,2018-02-01,TOP MODELING GEL  ANTI-CELULITIS A/P,D-3-2,3
529,2018-02-01,BODY SPA LECHE & AVENA CREMA CUERPO A/P,D-6-2,1
530,2018-02-01,BIO EFFECTIVE PODER ABSOLUTO DESODORANTE,D-5-1,47
531,2018-02-01,BODY SPA EXFOLIANTE GOMMAGE EN CREMA QUINUA,D-5-2,7
532,2018-02-01,DESODORANTE ACERK.TE FRESH,F-1-1,1
533,2018-02-01,DESODORANTE ACERK.TE ENERGIA,F-1-1,19
534,2018-02-01,KERA EXPERT ACONDICIONADOR LISO PROFESIONAL,F-1-1,9
535,2018-02-01,KERA EXPERT SHAMPOO LISO PROFESIONAL,F-1-1,16
536,2018-02-01,MACA EXPERT ACONDICIONADOR REPRACION PROFESIONAL,F-1-1,5
537,2018-02-01,TOTALIST CONCHA DE NACAR CREMA MANOS Y CUERPOS,D-6-2,1
538,2018-02-01,TOTALIST4 ALOE VERA CREMA MANOS Y CUERPOS,D-6-2,3
539,2018-02-01,TOTALIST 4 ALOE VERA CREMA MULTIACTIVA ,D-6-1,7
540,2018-02-01,EAU VITALE LAVANDA GEL PARA BAÑO ,E-1-1,32
541,2018-02-01,EAU VITALE TE VERDE GEL PARA BAÑO,E-1-1,1
542,2018-02-01,LESENCE FLORES & FRUTAS COLOGNE a/p,E-1-2,13
543,2018-02-01,LESENCE FLORES & FRUTAS CREMA HIDRATANTE PARA EL CUERPOdratante Cuerpo,E-1-2,1
544,2018-02-01,Lesence Orquídeas Exóticas Cologne,E-2-2,6
545,2018-02-01,COLONIA ZITRIKA LIMÓN,E-3-2,6
546,2018-02-01,TOTAL BLOCK KIDS SPF 70,E-4-1,11
547,2018-02-01,TOTAL BLOCK ANTI EDAD MATT SPF50+,E-4-1,7
548,2018-02-01,AGE BLOCK SPF 30 ,E-4-2,1
549,2018-02-01,TOTAL BLOCK REPELENTE SPF 50 ,E-4-2,4
550,2018-02-01,SUN BLOCK SPF 30  A/P,E-4-2,7
551,2018-02-01,SHAMPOO 2 EN 1 MANZANA,E-5-2,8
552,2018-02-01,Shampoo Kids 2 en 1 Uva,E-5-2,2
553,2018-02-01,COLONIA SPORTY PARA NIÑOS,E-6-2,15
554,2018-02-01,COLONIA MUNDO SAFARI PARA NIÑO,E-6-2,15
555,2018-02-01,COLONIA SWEETY PARA NIÑA,E-6-2,20
556,2018-02-01,COLONIA PRIMAVERA MAGICA PARA NIÑA,E-6-2,37
557,2018-02-01,TITANIUM LIMPIADOR EXFOLIANTE A/P,C-5-1,16
558,2018-02-01,BODY SPA UÑA DE GATO CREMA PARA PIEL EXTRA SECA A/P,C-6-2,15
559,2018-02-01,BODY SPA UÑA DE GATO BODY SPA UÑA DE GATO PARA PIEL EXTRA SECA A/P,C-6-2,33
560,2018-02-01,BODY SPA GRANULOS COCO & ACEITE DE OLIVIA GEL EXFOLIANTE PARA BAÑO,C-6-1,1
561,2018-02-01,BODY SPA UÑA DE GATO CREMA PARA MANOS A/P,C-6-1,3
562,2018-02-01,SENTIVA EXFOLIAGE,H-1-2,2
563,2018-02-01,SENTIVA MASCARILLA PURIFICANTE CUTIS MIXTO A GRASO,H-1-2,2
564,2018-02-01,ELIXIR DE VIDA COMPLEJO RECONSTITUYENTE 6.5g. ,H-3-2,11
565,2018-02-01,CONTROL BLANC RX COMPLEJO ACLARANTE X 6.5g.,H-4-2,1
566,2018-02-01,SISTEMA SKIN 24,H-4-2,2
567,2018-02-01,BB CREAM BALZAMO DE BELLEZA 5g.,H-5-2,37
568,2018-02-01,UNICREME GEL INVISIBLE,H-5-1,4
569,2018-02-01,UNICREME LOCION ASTRINGENTE,H-5-1,3
570,2018-02-01,UNICREME 2 EN 1 LIMPIADOR FACIAL,H-5-1,24
571,2018-02-01,HYDRO-ACTIVE BASE DE MAQUILLAJE T6,H-6-2,1
572,2018-02-01,HYDRO-ACTIVE BASE DE MAQUILLAJE T5,H-6-2,1
573,2018-02-01,HYDRO-ACTIVE BASE DE MAQUILLAJE T1,H-6-2,1
574,2018-02-01,HYDRO-ACTIVE BASE DE MAQUILLAJE T4,H-6-2,1
575,2018-02-01,MATIFIX BASE DE MAQUILLAJE MIXTO A  GRASO  T1,H-6-2,7
576,2018-02-01,MATIFIX BASE DE MAQUILLAJE MIXTO A  GRASO  T6,H-6-2,4
577,2018-02-01,ESMALTE PERFECT TEN ESCARCHA BRONZ,G-1-4,3
578,2018-02-01,ESMALTE PERFECT TEN  ECUESTRE CHIC,G-1-4,4
579,2018-02-01,ESM PERFECT TEN NOCHE EN TOKIO,G-1-4,2
580,2018-02-01,ESMALTE PERFECT TEN OSCURA TENTACION,G-1-4,3
581,2018-02-01,ESMALTE PERFECT TEN LONDON NIGHT,G-1-4,3
582,2018-02-01,ESMALTE PERFECT TEN JUNGLA DE CEMENTO,G-1-4,4
583,2018-02-01,ESMALTE PREFEC TEN BRILLO POR TI,G-1-4,4
584,2018-02-01,ESMALTE PERFECT TEN ALMA DORADA,G-1-4,2
585,2018-02-01,ESMALTE PERFECT TEN ZUL STYLE,G-1-4,6
586,2018-02-01,ESMALTE PERFECT TEN SELVA NOCTURNA,G-1-4,3
587,2018-02-01,ESMALTE PERFECT TEN  GUINDA TEJANO,G-1-4,2
588,2018-02-01,ESMALTE PERFECT TEN DORADO METALICO,G-1-4,4
589,2018-02-01,ESMALTE PERFECT TEN ARENHA,G-1-4,2
590,2018-02-01,Perfect Ten Removedor de Cutícula ,G-1-4,11
591,2018-02-01,ESMALTE PERFECT TEN NOCTAMBUL,G-1-4,1
592,2018-02-01,ESMALTE PERFECT TEN REFLEJOS MARINOS FR,G-1-4,5
593,2018-02-01,ESMALTE PERFECT TEN PSICODELICO,G-1-4,4
594,2018-02-01,ESMALTE PERFECT TEN SUPERNOVA,G-1-4,5
595,2018-02-01,ESMALTE PERFECT TEN AZUL  PROFUNDO,G-4-4,5
596,2018-02-01,ESMALTE PERFECT TEN SPONDYLUS FR,G-2-4,7
597,2018-02-01,ESMALTE PERFECT TEN TANGERIN POP FR,G-2-4,2
598,2018-02-01,ESMALTE PERFECT TEN INSTINTO ANIMAL,G-3-4,14
599,2018-02-01,ESMALTE PERFECT TEN SEDA DIAMANTE,G-3-4,24
600,2018-02-01,ESMALTE PERFECT TEN CITY STAR,G-4-4,4
601,2018-02-01,ESMALTE PERFECT TEN VERDEZZA,G-4-4,4
602,2018-02-01,ESMALTE PERFECT TEN VERDE ETNICO,G-4-4,1
603,2018-02-01,ESMALTE PERFECT TEN AZZULE,G-4-4,1
604,2018-02-01,ESMALTE PERFECT TEN AZUL DENIM,G-4-4,4
605,2018-02-01,ESMALTE PERFECT TEN MARSALA INDOMABLE,G-5-4,6
606,2018-02-01,ESMALTE PERFECT TEN ROSADO BALLET,G-5-4,3
607,2018-02-01,ESMALTE PERFECT TEN ROSA TORNASOL,G-5-4,5
608,2018-02-01,ESMALTE PERFECT TEN LA PURA VERDAD,G-5-4,4
609,2018-02-01,ESMALTE PERFECT TEN FUCSIA IMPERIO,G-5-4,2
610,2018-02-01,ESMALTE PERFECT TEN EXOTICA PASION,G-5-4,10
611,2018-02-01,ESMALTE PERFECT TEN LILA ETEREO,G-5-4,4
612,2018-02-01,ESMALTE PERFECT TEN OH DIVINA,G-5-4,4
613,2018-02-01,ESMALTE PERFECT TEN ROJO ETNICO,G-5-4,2
614,2018-02-01,ESMALTE PERFECT TEN DANZA  CARIOCA,G-5-4,2
615,2018-02-01,Prolong Color Intensity,G-5-4,2
616,2018-02-01,ESMALTE PERFECT TEN NARANJA DO BRAZIL,G-5-4,2
617,2018-02-01,ESMALTE PERFECT TEN ORO & ENCANTO,G-5-4,2
618,2018-02-01,ESMALTE PERFECT TEN LONDON  CITY,G-5-4,4
619,2018-02-01,ESMALTE PERFECT TEN LUXURY,G-5-4,2
620,2018-02-01,ESMALTE PERFECT TEN  CRUSH,G-5-4,3
621,2018-02-01,ESMALTE PERFECT TEN MISS ELEGANCE,G-5-4,1
622,2018-02-01,Esmalte para Diseño de Uñas Blanco,G-4-4,2
623,2018-02-01,Esmalte para Diseño de Uñas Negro ,G-4-4,6
624,2018-02-01,Esmalte para Diseño de Uñas Oro,G-4-4,1
625,2018-02-01,ESMALTE FORTE DIX FORTALECEDOR DE UÑAS,G-4-4,28
626,2018-02-01,ESMALTE PERFECT TEN PRINCESA,G-6-4,1
627,2018-02-01,Prolong Color Princesa (antigua presentación),G-6-4,2
628,2018-02-01,ESMALTE PERFECT TEN  DESEOS DE ARENA,G-6-4,9
629,2018-02-01,ESMALTE PERFECT TEN VALS,G-6-4,2
630,2018-02-01,ESMALTE PERFECT TEN PERLAS Y CRISTALES,G-6-4,2
631,2018-02-01,ESMALTE PERFECT TEN JUNGLA DE CRISTAL,G-6-4,4
632,2018-02-01,ESMALTE PERFECT TEN ROSA ROMANTICO,G-6-4,3
633,2018-02-01,ESMALTE PERFECT TEN LILA ROMANTIC,G-6-4,2
634,2018-02-01,ESMALTE PERFECT TEN AMANTES Y ENEMIGOS,G-6-4,1
635,2018-02-01,ESMALTE PERFECT TEN MORADO TOP,G-6-4,10
636,2018-02-01,ESMALTE PERFECT TEN MIAMI AQUA,G-6-4,3
637,2018-02-01,Perfect Ten Sudio 54,G-6-4,9
638,2018-02-01,ESMALTE PERFECT TEN  AQUARIUM,G-6-4,12
639,2018-02-01,Prolong Color Dunas (antigua presentación),G-6-4,1
640,2018-02-01,ESMALTE PERFECT TEN VERDE  TROPICAL,G-6-4,2
641,2018-02-01,Perfect Ten Salvaje,G-6-4,2
642,2018-02-01,ESMALTE PERFECT TEN ORO BLING,G-6-4,3
643,2018-02-01,ESMALTE PERFECT TEN VERDE AFRICA,G-6-4,2
644,2018-02-01,ESMALTE PERFECT TEN FUCSIA FEMME ,G-5-4,2
645,2018-02-01,ESMALTE PERFECT TEN AQUA MENTA,G-5-4,2
646,2018-02-01,ESMALTE PERFECT TEN ROJO SUNSET,G-5-4,1
647,2018-02-01,Perfect Ten Acrylic Blue,G-5-4,1
648,2018-02-01,Perfect Ten Art Sky ,G-5-4,1
649,2018-02-01,ESMALTE PERFECT TEN BLANC HARMONY,G-5-4,1
650,2018-02-01,HYDRA-LIP LABIAL COLOR INTENSO VAINILLA ROSA,G-3-2,2
651,2018-02-01,HIDRA-LIP ULTRA HIDRATANTE ,G-3-2,3
652,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  POP STYLE FR,G-3-2,3
653,2018-02-01,HYDRA-LIP LABIAL COLOR INTENSO VAINILLA INTIMO,G-3-2,2
654,2018-02-01,HYDRA-LIP LABIAL COLOR INTENSO ROCK AND ROS,G-3-2,3
655,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO MORA MIA,G-3-2,1
656,2018-02-01,LABIAL 3D DIMENTION ALMENDRA,G-4-2,1
657,2018-02-01,LABIAL 3D DIMENTION CONSENTIDA POR TUS BESOS,G-4-2,12
658,2018-02-01,LABIAL DIMENTION 3D CARAMEL,G-4-2,3
659,2018-02-01,Hydra-Lip Color Intenso Kaki,G-2-3,15
660,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO FUCSIA OPULENTO,G-3-3,2
661,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO FUCSIA BOHEME,G-3-3,3
662,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO COBRE DEL OESTE,G-3-3,3
663,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO FLORIDA LOVE,G-3-3,2
664,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO ROSA PARIS,G-3-3,2
665,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  DELICATTA ,G-3-3,2
666,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  GUINDA DEL OESTE,G-2-3,9
667,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  ROSA  SOFT,G-2-3,10
668,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO PURO SENTIMIENTO,G-2-3,12
669,2018-02-01,Hydra-Lip Color Intenso Mitica,G-2-3,8
670,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO FEMME ROSE,G-2-3,10
671,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  ROSA LIGHT,G-2-3,5
672,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO JUGAR CON FUEGO,G-2-3,4
673,2018-02-01,HYDRA LIP ULTRA ROSA POP,G-4-2,1
674,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO ULTRA LADY ROSE,G-3-3,3
